Length_m,MaxPrSt1_Pa,MaxPrSt2_Pa
0,280500000,318690000
0.000052083,275540000,289920000
0.00010417,270580000,266170000
0.00015625,266020000,246300000
0.00020833,261520000,229260000
0.00026042,257320000,214720000
0.0003125,253260000,202210000
0.00036458,249380000,191450000
0.00041667,245720000,181980000
0.00046875,242130000,173740000
0.00052083,238840000,166550000
0.00057292,235550000,160140000
0.000625,232560000,154470000
0.00067708,229610000,149360000
0.00072917,226840000,144760000
0.00078125,224190000,140600000
0.00083333,221640000,136870000
0.00088542,219260000,133460000
0.0009375,216910000,130370000
0.00098958,214770000,127580000
0.0010417,212630000,125010000
0.0010938,210700000,122680000
0.0011458,208770000,120530000
0.0011979,207030000,118550000
0.00125,205300000,116710000
0.0013021,203730000,115050000
0.0013542,202190000,113530000
0.0014063,200780000,112120000
0.0014583,199430000,110820000
0.0015104,198150000,109620000
0.0015625,196980000,108520000
0.0016146,195810000,107510000
0.0016667,194820000,106580000
0.0017188,193820000,105720000
0.0017708,192940000,104950000
0.0018229,192100000,104240000
0.001875,191330000,103600000
0.0019271,190640000,103020000
0.0019792,189970000,102500000
0.0020313,189430000,102040000
0.0020833,188900000,101630000
0.0021354,188470000,101270000
0.0021875,188080000,100960000
0.0022396,187750000,100700000
0.0022917,187490000,100490000
0.0023438,187270000,100330000
0.0023958,187140000,100220000
0.0024479,187020000,100150000
0.0025,187030000,100130000
