Length_m,MaxPrSt_Pa,s_MPa,Length_m,MaxPrSt_Pa,s_MPa,Length_m,MaxPrSt_Pa,s_MPa
0,330188981.4,252.4267,0,442537738.6,192.741313,0,1010153449,150.8923316
0.000052083,324348042.5,angle_degree,0.000052083,402582665.5,angle_degree,0.000052083,523920808.2,angle_degree
0.00010417,318507103.6,45,0.00010417,369605193.5,45,0.00010417,372646576.5,45
0.00015625,313135316.4,notch_depth_mm,0.00015625,342013211.2,notch_depth_mm,0.00015625,300044959.3,notch_depth_mm
0.00020833,307845630.7,5,0.00020833,318353051.8,5,0.00020833,257808759.9,5
0.00026042,302896080.1,notch_radius_mm,0.00026042,298167848.5,notch_radius_mm,0.00026042,229227088.8,notch_radius_mm
0.0003125,298122461.3,5,0.0003125,280793067.9,1,0.0003125,209240781.5,0.1
0.00036458,293548232,Notched specimen 1,0.00036458,265854909.9,Notched specimen 2,0.00036458,194136307.1,Notched specimen 3
0.00041667,289243765,,0.00041667,252702685.5,,0.00041667,182255094.2,
0.00046875,285021399.5,,0.00046875,241267172.6,,0.00046875,172230646.8,
0.00052083,281150897.8,,0.00052083,231285326.5,,0.00052083,163896064.6,
0.00057292,277268667.3,,0.00057292,222383347.3,,0.00057292,156844528.2,
0.000625,273761758.2,,0.000625,214492012.7,,0.000625,151190781.5,
0.00067708,270278306.6,,0.00067708,207403656,,0.00067708,146079460.8,
0.00072917,267029431,,0.00072917,201007521.6,,0.00072917,141781778.9,
0.00078125,263897843.2,,0.00078125,195248231.8,,0.00078125,138047385.3,
0.00083333,260895272.2,,0.00083333,190056564.2,,0.00083333,134417304.5,
0.00088542,258092090.7,,0.00088542,185321763.5,,0.00088542,131267061.9,
0.0009375,255335824.3,,0.0009375,181043829.4,,0.0009375,128304582.1,
0.00098958,252802405,,0.00098958,177153539.9,,0.00098958,125696765.4,
0.0010417,250292443.3,,0.0010417,173595517.1,,0.0010417,123328867.8,
0.0010938,248017057.5,,0.0010938,170355916.6,,0.0010938,121148733.1,
0.0011458,245753400.4,,0.0011458,167365516.1,,0.0011458,119271105,
0.0011979,243700861.6,,0.0011979,164610471.2,,0.0011979,117549946,
0.00125,241660051.6,,0.00125,162063093,,0.00125,115964393.4,
0.0013021,239818631.1,,0.0013021,159764914.9,,0.0013021,114504016.1,
0.0013542,238012397,,0.0013542,157646714.5,,0.0013542,113168813.9,
0.0014063,236346908.4,,0.0014063,155680803.1,,0.0014063,111833611.8,
0.0014583,234763521.3,,0.0014583,153881025,,0.0014583,110498409.6,
0.0015104,233238778.2,,0.0015104,152219691.4,,0.0015104,109403126.6,
0.0015625,231866509.5,,0.0015625,150696802.3,,0.0015625,108453881.3,
0.0016146,230494240.7,,0.0016146,149284668.7,,0.0016146,107598517.4,
0.0016667,229321361.4,,0.0016667,147997135.2,,0.0016667,106753584.8,
0.0017188,228148482.1,,0.0017188,146806512.8,,0.0017188,105950377.3,
0.0017708,227116348.3,,0.0017708,145726645.9,,0.0017708,105241051.1,
0.0018229,226131129.7,,0.0018229,144757534.7,,0.0018229,104573450,
0.001875,225216283.8,,0.001875,143857645.6,,0.001875,103954875.9,
0.0019271,224406997.1,,0.0019271,143054667.7,,0.0019271,103419751.9,
0.0019792,223621168,,0.0019792,142334756.5,,0.0019792,102881498.6,
0.0020313,222987813.1,,0.0020313,141684067.5,,0.0020313,102420436.6,
0.0020833,222354458.3,,0.0020833,141116445.2,,0.0020833,102004229,
0.0021354,221861849,,0.0021354,140618045.1,,0.0021354,101590107.7,
0.0021875,221392697.3,,0.0021875,140188867.2,,0.0021875,101253177.8,
0.0022396,221005647.1,,0.0022396,139828911.6,,0.0022396,100956929.8,
0.0022917,220700698.5,,0.0022917,139538178.3,,0.0022917,100720140.1,
0.0023438,220442665,,0.0023438,139316667.1,,0.0023438,100541765.4,
0.0023958,220290190.7,,0.0023958,139164378.2,,0.0023958,100362347.6,
0.0024479,220149445.2,,0.0024479,139067467.1,,0.0024479,100185016.1,
0.0025,220149445.2,,0.0025,139039778.2,,0.0025,100093220.9,
