Length_m,MaxPrSt_Pa
0,317516911.7
0.000052083,311900137.7
0.00010417,306283363.7
0.00015625,301117736.1
0.00020833,296031059.3
0.00026042,291271463.6
0.0003125,286681047.9
0.00036458,282282369.5
0.00041667,278143100.3
0.00046875,274082781.7
0.00052083,270360823
0.00057292,266627585.7
0.000625,263255265.5
0.00067708,259905502.7
0.00072917,256781313.2
0.00078125,253769910.2
0.00083333,250882572.6
0.00088542,248186972.2
0.0009375,245536486.5
0.00098958,243100295.3
0.0010417,240686661.5
0.0010938,238498601
0.0011458,236321819.1
0.0011979,234348053.1
0.00125,232385565.8
0.0013021,230614815.8
0.0013542,228877901.7
0.0014063,227276331.6
0.0014583,225753712.1
0.0015104,224287486
0.0015625,222967882.5
0.0016146,221648278.9
0.0016667,220520412.7
0.0017188,219392546.4
0.0017708,218400024.1
0.0018229,217452616.4
0.001875,216572880.7
0.0019271,215794653
0.0019792,215038982.6
0.0020313,214429934.8
0.0020833,213820887
0.0021354,213347183.2
0.0021875,212896036.7
0.0022396,212523840.8
0.0022917,212230595.6
0.0023438,211982465
0.0023958,211835842.4
0.0024479,211700498.4
0.0025,211700498.4
